y;x;intensity
1782;1214;0,0004024903
1782;1215;0,00052088604
1782;1216;0,00063740986
1782;1217;0,0007359829
1782;1218;0,0008381139
1782;1219;0,00093573367
1782;1220;0,0010217293
1782;1221;0,0011173694
1782;1222;0,0012045831
1782;1223;0,001300767
1782;1224;0,0013858946
1782;1225;0,0014643798
1782;1226;0,0015255609
1782;1227;0,0015800038
1782;1228;0,0016131484
1782;1229;0,0016655113
1782;1230;0,0016855373
1782;1231;0,0016923307
1782;1232;0,0017203115
1782;1233;0,0017289601
1782;1234;0,0017388319
1782;1235;0,0017513898
1782;1236;0,0017444511
1782;1237;0,0017179303
1782;1238;0,0016893204
1782;1239;0,0016702327
1782;1240;0,0016141271
1782;1241;0,0015570819
1782;1242;0,0014890804
1782;1243;0,0014114653
1782;1244;0,0013397238
1782;1245;0,001251733
1782;1246;0,0011672834
1782;1247;0,0010636955
1782;1248;0,0009434696
1782;1249;0,0008128517
1782;1250;0,00066580926
1782;1251;0,00050791324
1782;1252;0,0003350014
1782;1253;0,00017447662
1782;1254;0
1782;1255;0
1782;1256;0
1782;1257;0
1782;1258;0
1782;1259;0
1782;1260;0
1782;1261;0
1782;1262;0
1782;1263;0
1782;1264;0
1782;1265;0
1782;1266;0
1782;1267;0
1782;1268;0
1782;1269;0
1782;1270;0
1782;1271;0
1782;1272;0
1782;1273;0
1782;1274;0
1783;1180;0
1783;1181;0
1783;1182;0
1783;1183;0
1783;1184;0
1783;1185;0
1783;1186;0
1783;1187;0
1783;1188;0
1783;1189;0
1783;1190;0
1783;1191;0
1783;1192;0
1783;1193;0
1783;1194;0
1783;1195;0
1783;1196;0
1783;1197;0
1783;1198;0
1783;1199;0
1783;1200;0
1783;1201;0
1783;1202;0
1783;1203;0
1783;1204;0
1783;1205;0
1783;1206;0
1783;1207;0
1783;1208;0
1783;1209;0
1783;1210;0
1783;1211;0,0001036741
1783;1212;0,00022131923
1783;1213;0,00037035107
1783;1214;0,0004907777
1783;1215;0,00061507657
1783;1216;0,0007149279
1783;1217;0,00081984943
1783;1218;0,0009220855
1783;1219;0,0010094171
1783;1220;0,0010942855
1783;1221;0,0011931142
1783;1222;0,0012811485
1783;1223;0,0013782615
1783;1224;0,0014633408
1783;1225;0,0015361041
1783;1226;0,001603726
1783;1227;0,0016485851
1783;1228;0,001697098
1783;1229;0,0017361414
1783;1230;0,0017665057
1783;1231;0,0017831171
1783;1232;0,0018064091
1783;1233;0,0018094643
1783;1234;0,0018309538
1783;1235;0,0018265462
1783;1236;0,0018277073
1783;1237;0,0018071162
1783;1238;0,0017862087
1783;1239;0,0017535052
1783;1240;0,0017062078
1783;1241;0,0016489967
1783;1242;0,0015947783
1783;1243;0,001514311
1783;1244;0,001447619
1783;1245;0,0013806303
1783;1246;0,0012860073
1783;1247;0,0011995053
1783;1248;0,0010726446
1783;1249;0,0009451533
1783;1250;0,00080427417
1783;1251;0,0006520831
1783;1252;0,0004827818
1783;1253;0,00030782472
1783;1254;0,00013102287
1783;1255;0
1783;1256;0
1783;1257;0
1783;1258;0
1783;1259;0
1783;1260;0
1783;1261;0
1783;1262;0
1783;1263;0
1783;1264;0
1783;1265;0
1783;1266;0
1783;1267;0
1783;1268;0
1783;1269;0
1783;1270;0
1783;1271;0
1783;1272;0
1783;1273;0
1783;1274;0
1784;1180;0
1784;1181;0
1784;1182;0
1784;1183;0
1784;1184;0
1784;1185;0
1784;1186;0
1784;1187;0
1784;1188;0
1784;1189;0
1784;1190;0
1784;1191;0
1784;1192;0
1784;1193;0
1784;1194;0
1784;1195;0
1784;1196;0
1784;1197;0
1784;1198;0
1784;1199;0
1784;1200;0
1784;1201;0
1784;1202;0
1784;1203;0
1784;1204;0
1784;1205;0
1784;1206;0
1784;1207;0
1784;1208;0
1784;1209;0
1784;1210;5,1475425E-05
1784;1211;0,00018366198
1784;1212;0,00030229427
1784;1213;0,00044476567
1784;1214;0,0005717162
1784;1215;0,00068164436
1784;1216;0,0007942967
1784;1217;0,00090500317
1784;1218;0,0009959413
1784;1219;0,0010871441
1784;1220;0,0011759922
1784;1221;0,0012666252
1784;1222;0,0013590041
1784;1223;0,0014423338
1784;1224;0,0015279526
1784;1225;0,0015946073
1784;1226;0,0016755918
1784;1227;0,0017231356
1784;1228;0,0017726145
1784;1229;0,0017905139
1784;1230;0,0018239506
1784;1231;0,0018508037
1784;1232;0,001872425
1784;1233;0,0018809066
1784;1234;0,0019045158
1784;1235;0,001904828
1784;1236;0,0019124751
1784;1237;0,00187979
1784;1238;0,0018730867
1784;1239;0,001832439
1784;1240;0,0017819587
1784;1241;0,0017425884
1784;1242;0,0016815146
1784;1243;0,001619868
1784;1244;0,0015502826
1784;1245;0,0014778725
1784;1246;0,0013978039
1784;1247;0,0013028665
1784;1248;0,0011891375
1784;1249;0,0010687975
1784;1250;0,0009314906
1784;1251;0,0007921705
1784;1252;0,0006174994
1784;1253;0,00044736871
1784;1254;0,00027198074
1784;1255;8,844214E-05
1784;1256;0
1784;1257;0
1784;1258;0
1784;1259;0
1784;1260;0
1784;1261;0
1784;1262;0
1784;1263;0
1784;1264;0
1784;1265;0
1784;1266;0
1784;1267;0
1784;1268;0
1784;1269;0
1784;1270;0
1784;1271;0
1784;1272;0
1784;1273;0
1784;1274;0
1785;1180;0
1785;1181;0
1785;1182;0
1785;1183;0
1785;1184;0
1785;1185;0
1785;1186;0
1785;1187;0
1785;1188;0
1785;1189;0
1785;1190;0
1785;1191;0
1785;1192;0
1785;1193;0
1785;1194;0
1785;1195;0
1785;1196;0
1785;1197;0
1785;1198;0
1785;1199;0
1785;1200;0
1785;1201;0
1785;1202;0
1785;1203;0
1785;1204;0
1785;1205;0
1785;1206;0
1785;1207;0
1785;1208;0
1785;1209;0
1785;1210;0,00012817334
1785;1211;0,00027339644
1785;1212;0,0003881968
1785;1213;0,00052754505
1785;1214;0,0006466385
1785;1215;0,0007668706
1785;1216;0,00086656766
1785;1217;0,0009639097
1785;1218;0,0010654806
1785;1219;0,0011546591
1785;1220;0,0012475791
1785;1221;0,0013232668
1785;1222;0,0014261097
1785;1223;0,0015092924
1785;1224;0,0015863138
1785;1225;0,0016664048
1785;1226;0,0017305837
1785;1227;0,0017882988
1785;1228;0,001821583
1785;1229;0,0018498552
1785;1230;0,0018836049
1785;1231;0,0019052968
1785;1232;0,0019292968
1785;1233;0,0019448684
1785;1234;0,0019458929
1785;1235;0,0019600806
1785;1236;0,0019668133
1785;1237;0,0019481526
1785;1238;0,0019343435
1785;1239;0,0018998986
1785;1240;0,0018519452
1785;1241;0,0017986083
1785;1242;0,0017514325
1785;1243;0,0016880528
1785;1244;0,0016269989
1785;1245;0,0015681026
1785;1246;0,0014861503
1785;1247;0,0013970184
1785;1248;0,0012961231
1785;1249;0,001184227
1785;1250;0,0010464963
1785;1251;0,00089895143
1785;1252;0,00074240763
1785;1253;0,0005752462
1785;1254;0,00039676754
1785;1255;0,00021575687
1785;1256;3,896144E-05
1785;1257;0
1785;1258;0
1785;1259;0
1785;1260;0
1785;1261;0
1785;1262;0
1785;1263;0
1785;1264;0
1785;1265;0
1785;1266;0
1785;1267;0
1785;1268;0
1785;1269;0
1785;1270;0
1785;1271;0
1785;1272;0
1785;1273;0
1785;1274;0
1786;1180;0
1786;1181;0
1786;1182;0
1786;1183;0
1786;1184;0
1786;1185;0
1786;1186;0
1786;1187;0
1786;1188;0
1786;1189;0
1786;1190;0
1786;1191;0
1786;1192;0
1786;1193;0
1786;1194;0
1786;1195;0
1786;1196;0
1786;1197;0
1786;1198;0
1786;1199;0
1786;1200;0
1786;1201;0
1786;1202;0
1786;1203;0
1786;1204;0
1786;1205;0
1786;1206;0
1786;1207;0
1786;1208;0
1786;1209;8,582783E-05
1786;1210;0,0002165631
1786;1211;0,00033489117
1786;1212;0,00046165913
1786;1213;0,0006029467
1786;1214;0,00072084024
1786;1215;0,0008265866
1786;1216;0,00093068875
1786;1217;0,0010331579
1786;1218;0,0011108336
1786;1219;0,0012142543
1786;1220;0,0012913751
1786;1221;0,0013756109
1786;1222;0,0014677916
1786;1223;0,0015500849
1786;1224;0,001631663
